title,location,price,bedrooms
,"Bongani road, Karen","KSh 270,000,000",5
,Ridgeways,"KSh 145,000,000",6
,"Lavighton, Lavington","KSh 121,000,000",4
,"Runda, Westlands","KSh 150,000,000",5
,"Westlands Area, Westlands","KSh 35,000,000",4
,"Malewa Rd 2, Komarock","KSh 18,000,000",42
,"01, lavington, Lavington","KSh 92,000,000",5
,"43, Runda Paradise, Runda, Westlands","KSh 32,000,000",4
,Lavington,"KSh 150,000,000",5
,"Lower Kabete, Westlands","KSh 185,000,000",5
,Kiambu Road,"KSh 32,000,000",4
,"55, Runda Grove, Runda, Westlands","KSh 150,000,000",6
,Karen,"KSh 65,000,000",4
,Karen,"KSh 140,000,000",5
,Kilimani,"KSh 49,000,000",5
,"Runda, Westlands","KSh 32,000,000",4
,Kiambu Road,"KSh 43,000,000",3
,"Spring Valley, Westlands",Price not communicated,4
,"Runda, Westlands","KSh 250,000,000",5
,"South c Estate Nairobi, South C estate Nairobi, South C","KSh 21,950,000",4
,"Forest view, Karen","KSh 125,000,000",7
,"Rhapta Road, Westlands","KSh 48,000,000",5
,"Karura, Westlands","KSh 85,000,000",4
,Lavington,"KSh 64,000,000",5
,"303, lavington, Lavington","KSh 66,000,000",5
,"Runda, Westlands","KSh 90,000,000",5
,"Runda, Westlands","KSh 120,000,000",5
,"Ring road, Westlands Area, Westlands","KSh 150,000,000",4
,"Apple Cross Road, Lavington","KSh 110,000,000",6
,"Kitisuru, Westlands","KSh 30,000,000",4
,"Imara daima, Imara Daima","KSh 14,500,000",4
,"General Mathenge, Westlands","KSh 55,000,000",5
,"Kitisuru, Westlands","KSh 135,000,000",4
,Kileleshwa,"KSh 28,500,000",6
,"Off Convent Road, Lavington","KSh 85,000,000",5
,"01, karen, Nairobi, Karen","KSh 85,000,000",4
,"O, Kabete, Lower Kabete, Westlands","KSh 130,000,000",5
,"Mukoma road, Karen","KSh 85,000,000",4
,Lavington,"KSh 55,000,000",5
,"77, Muthaiga Road, Muthaiga","KSh 400,000,000",5
,"45, Paradise Lost, Runda, Westlands","KSh 85,000,000",4
,Ngumo Estate,"KSh 16,000,000",3
,"General Mathenge, Westlands","KSh 55,000,000",4
,"12, spring valley, Spring Valley, Westlands","KSh 200,000,000",8
,"Karen fair acres, Karen","KSh 67,000,000",5
,"Runda, Westlands","KSh 130,000,000",4
,"Grivelia grove westland, Westlands Area, Westlands","KSh 60,000,000",4
,Karen,"KSh 85,000,000",4
,"55, Flem Tree Runda, Runda, Westlands","KSh 115,000,000",5
,"009, Runda Road, Runda, Westlands","KSh 220,000,000",10
,Langata,"KSh 16,000,000",3
,Karen,"KSh 165,000,000",7
,Kiambu Road,"KSh 45,000,000",3
,"01, kitisuru, westland, Kitisuru, Westlands","KSh 150,000,000",5
